run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,5.0150,5.5224,5.5219,1.0000,0.1325,0.1333,0.0000,6.6259,6.6600,1.0000,0.1325,0.1333
1,2,433,2,0.27,768,5.0297,5.5319,5.5304,0.5000,0.0092,0.0109,0.0000,10.1737,10.1946,1.0000,0.1405,0.1425
2,3,310,1,0.38,768,4.7677,5.4915,5.4897,0.6667,0.1325,0.1333,0.0000,8.2518,8.2687,1.0000,0.1411,0.1431
3,4,300,1,0.42,768,4.8514,5.4744,5.4744,0.5000,0.1325,0.1333,0.0000,8.2896,8.3357,1.0000,0.1812,0.1808
4,5,1009,2,0.39,768,4.9072,5.4385,5.4386,0.4000,0.1325,0.1333,0.0000,17.3360,17.3187,1.0000,0.2126,0.2153
5,6,657,2,0.41000000000000003,768,4.9491,5.4467,5.4476,0.3333,0.1325,0.1333,0.0000,9.9883,10.0026,1.0000,0.2543,0.2561
6,8,455,2,0.23,768,4.9080,5.4397,5.4411,0.2500,0.0092,0.0109,0.0000,8.9127,8.9959,1.0000,0.2075,0.2093
7,10,103,2,0.09,768,4.7008,5.4216,5.4221,0.3000,0.0092,0.0109,0.0002,6.0844,6.1515,1.0000,0.2241,0.2232
8,13,203,2,0.14,768,4.5678,5.3785,5.3780,0.3077,0.0092,0.0109,0.0000,6.4284,6.5049,1.0000,0.2927,0.2908
9,16,150,1,0.31,768,4.6705,5.3296,5.3292,0.2500,0.0092,0.0109,0.0001,5.8518,5.8849,1.0000,0.3337,0.3346
10,21,72,0,0.15,768,4.6939,5.2563,5.2569,0.1905,0.0092,0.0109,0.0000,5.6274,5.6712,1.0000,0.3220,0.3204
11,26,467,2,0.27,768,4.5853,5.2066,5.2091,0.1923,0.1325,0.1333,0.0000,7.5327,7.5612,1.0000,0.3509,0.3488
12,33,377,2,0.5,768,4.4091,5.1400,5.1428,0.2121,0.1325,0.1333,0.0002,7.2129,7.2253,1.0000,0.3418,0.3420
13,42,436,0,0.44,768,4.5329,5.0996,5.1013,0.1667,0.1325,0.1333,0.0036,5.7619,5.7700,1.0000,0.4046,0.4047
14,53,382,0,0.1,768,4.5302,5.0520,5.0532,0.1887,0.1325,0.1333,0.0029,5.8082,5.8258,1.0000,0.4395,0.4374
15,67,326,2,0.5,768,4.5732,5.0467,5.0505,0.1642,0.1325,0.1333,0.0005,5.5540,5.6072,1.0000,0.4659,0.4670
16,84,326,2,0.49,768,4.4723,4.9956,4.9975,0.1548,0.0871,0.0859,0.0008,5.1580,5.2060,1.0000,0.4784,0.4834
17,106,247,2,0.44,768,4.5024,4.9224,4.9228,0.1415,0.0871,0.0859,0.0011,4.3764,4.4310,1.0000,0.5010,0.5050
18,134,179,2,0.05,768,4.4543,4.8790,4.8771,0.1418,0.0871,0.0859,0.0004,4.4240,4.3685,1.0000,0.5383,0.5429
19,170,137,2,0.02,768,4.5188,4.7848,4.7849,0.1235,0.0871,0.0859,0.0015,2.9386,3.0166,1.0000,0.5910,0.5933
