	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
22	22	351	388	1	0.37	154	3.48	3.6781	3.6854	0.1681	0.1679	0.1654	0.1187	2.8963	2.8857	0.9886	0.4613	0.4646	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
23	23	445	38	2	0.25	148	3.4471	3.6918	3.6956	0.1685	0.1679	0.1654	0.7853	2.8258	2.8082	0.8674	0.431	0.4355	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
24	24	563	467	1	0.41	115	3.4483	3.6969	3.6994	0.1741	0.1679	0.1654	0.4046	2.7225	2.7117	0.9805	0.4804	0.4834	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
25	25	712	176	0	0.09	124	3.482	3.684	3.6888	0.1671	0.1679	0.1654	1.9202	3.163	3.1433	0.6868	0.3916	0.3914	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
26	26	901	57	2	0.02	240	3.5111	3.6661	3.6733	0.162	0.1679	0.1654	0.6882	2.4358	2.4718	0.9068	0.5097	0.5032	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
27	27	1141	968	2	0.15	50	3.5529	3.633	3.647	0.1639	0.1679	0.1654	0.1178	2.8009	2.8471	0.9711	0.5651	0.558	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
28	28	1444	268	0	0.01	235	3.5507	3.6144	3.6332	0.1641	0.1679	0.1654	1.5528	2.7696	2.7684	0.7465	0.4799	0.4756	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
29	29	1827	270	0	0.3	144	3.5559	3.6201	3.6392	0.1565	0.1679	0.1654	1.1372	2.2752	2.3286	0.7564	0.5251	0.5173	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
30	30	2313	596	2	0.24	188	3.5344	3.6268	3.6454	0.1634	0.1679	0.1654	0.3797	1.883	1.941	0.9395	0.6223	0.6147	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
31	31	2927	694	0	0.49	59	3.5385	3.6268	3.6452	0.1609	0.1679	0.1654	2.1766	2.523	2.5422	0.5196	0.442	0.4411	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
32	32	3705	837	0	0.48	176	3.5485	3.6346	3.6531	0.1563	0.1679	0.1654	1.442	2.0	2.0567	0.6926	0.5577	0.5528	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
33	33	4689	487	2	0.4	75	3.5555	3.6332	3.6517	0.1536	0.1679	0.1654	0.545	1.5031	1.5296	0.9147	0.6672	0.6618	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
34	34	5934	418	0	0.11	210	3.5514	3.6444	3.6628	0.1542	0.1679	0.1654	1.2265	2.0091	2.0512	0.7248	0.579	0.5709	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
35	35	7510	407	0	0.05	85	3.5438	3.6513	3.6695	0.1575	0.1679	0.1654	1.7267	2.2631	2.3161	0.6119	0.5127	0.5052	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
36	36	9505	657	0	0.0	102	3.5602	3.6439	3.6576	0.1557	0.1679	0.1654	1.6861	2.1792	2.2292	0.6208	0.5313	0.5253	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
37	37	12029	442	1	0.22	225	3.5586	3.6414	3.6561	0.1554	0.1679	0.1654	0.3452	1.3557	1.3895	0.9392	0.7087	0.7031	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
38	38	15225	398	1	0.37	187	3.5516	3.643	3.6572	0.1563	0.1679	0.1654	0.3236	1.2338	1.2453	0.9437	0.7329	0.7295	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
39	39	19268	369	2	0.04	195	3.5555	3.6402	3.6555	0.1567	0.1679	0.1654	0.3145	1.355	1.4043	0.9328	0.7291	0.7215	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
40	40	24386	75	2	0.43	230	3.5683	3.6238	3.6403	0.1599	0.1679	0.1654	1.1645	1.4158	1.4416	0.7141	0.6637	0.6605	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
41	41	30863	179	1	0.18	187	3.5639	3.6223	3.6412	0.165	0.1679	0.1654	0.5511	1.1456	1.1651	0.8834	0.7391	0.7384	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
42	42	39061	442	0	0.09	112	3.5763	3.6195	3.6353	0.1654	0.1679	0.1654	1.7114	1.9669	1.975	0.605	0.5506	0.5444	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
43	43	49436	111	0	0.14	188	3.5905	3.61	3.624	0.1666	0.1679	0.1654	1.5516	1.7067	1.7393	0.6457	0.6083	0.5988	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
44	44	62566	242	0	0.37	94	3.5959	3.6057	3.6198	0.1695	0.1679	0.1654	2.0639	2.1723	2.1999	0.5439	0.522	0.5163	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
45	45	79184	107	0	0.35	182	3.5932	3.6076	3.6199	0.1738	0.1679	0.1654	1.673	1.78	1.7863	0.6231	0.5996	0.6003	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
46	46	100217	150	0	0.11	215	3.5876	3.6064	3.6195	0.1765	0.1679	0.1654	1.4887	1.5974	1.6113	0.6556	0.6382	0.6322	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
47	47	126835	38	2	0.41	292	3.5935	3.6051	3.6182	0.1758	0.1679	0.1654	1.4407	1.4651	1.4863	0.6464	0.6445	0.637	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
48	48	160524	248	2	0.23	98	3.6035	3.6	3.6167	0.1731	0.1679	0.1654	0.7194	0.8558	0.863	0.8274	0.7922	0.7913	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
49	49	203160	670	1	0.29	67	3.6068	3.5998	3.6198	0.1707	0.1679	0.1654	0.8306	0.9342	0.9396	0.8131	0.7882	0.7858	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
0	0	1	776	0	0.09	768	3.4594	4.0004	3.9958	1.0	0.0752	0.0831	0.0	5.0612	5.0164	1.0	0.0775	0.0854	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
1	1	2	433	2	0.27	768	3.5025	3.9713	3.966	0.5	0.0752	0.0831	0.0	9.5588	9.4878	1.0	0.1818	0.1886	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
2	2	3	310	1	0.38	768	3.2676	3.982	3.9733	0.6667	0.0752	0.0831	0.0	7.8049	7.7319	1.0	0.1964	0.2041	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
3	3	4	300	1	0.42	768	3.1699	3.9714	3.9623	0.5	0.0752	0.0831	0.0	7.7197	7.6541	1.0	0.1935	0.1991	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
4	4	5	1009	2	0.39	768	3.2925	3.9692	3.9623	0.4	0.0752	0.0831	0.0	12.7539	12.7021	1.0	0.2115	0.2143	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
5	5	6	657	2	0.41	768	3.3863	3.9095	3.904	0.3333	0.0752	0.0831	0.0	9.872	9.8366	1.0	0.2729	0.275	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
6	6	8	455	2	0.23	768	3.3568	3.8946	3.8892	0.375	0.0752	0.0831	0.0	8.7192	8.7511	1.0	0.3358	0.3372	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
7	7	10	103	2	0.09	768	3.1132	3.9285	3.9193	0.5	0.0752	0.0831	0.0002	4.6219	4.6153	1.0	0.2887	0.2943	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
8	8	13	203	2	0.14	768	2.9461	3.9414	3.93	0.4615	0.0752	0.0831	0.0	5.4012	5.4333	1.0	0.3446	0.3431	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
9	9	16	150	1	0.31	768	3.1675	3.8732	3.8626	0.375	0.0752	0.0831	0.0002	3.3187	3.3412	1.0	0.4952	0.4956	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
10	10	21	72	0	0.15	768	3.2129	3.8286	3.8192	0.2857	0.0752	0.0831	0.0008	3.7294	3.7317	1.0	0.4422	0.4426	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
11	11	26	467	2	0.27	768	3.1497	3.8512	3.8402	0.2692	0.0752	0.0831	0.0	6.3482	6.3774	1.0	0.5072	0.5045	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
12	12	33	377	2	0.5	768	3.1121	3.8367	3.8278	0.2121	0.0752	0.0831	0.0001	5.1441	5.1605	1.0	0.4953	0.496	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
13	13	42	436	0	0.44	768	3.2689	3.7583	3.7548	0.1905	0.1679	0.1654	0.0062	2.7988	2.8009	1.0	0.5546	0.5541	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
14	14	53	382	0	0.1	768	3.3205	3.7439	3.7433	0.1887	0.1679	0.1654	0.0076	2.4483	2.4475	1.0	0.5937	0.5966	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
15	15	68	326	2	0.5	768	3.4352	3.7196	3.7162	0.1618	0.1679	0.1654	0.0001	2.5314	2.5253	1.0	0.6967	0.694	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
16	16	85	326	2	0.49	768	3.3949	3.7616	3.7535	0.1529	0.0809	0.0809	0.0001	2.6337	2.6384	1.0	0.6911	0.6886	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
17	17	108	247	2	0.44	768	3.4337	3.7425	3.737	0.1667	0.0752	0.0831	0.0002	1.9896	2.0156	1.0	0.7167	0.7131	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
18	18	137	179	2	0.05	768	3.435	3.7201	3.7186	0.146	0.1679	0.1654	0.0002	1.9577	2.0086	1.0	0.7488	0.743	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
19	19	173	137	2	0.02	768	3.463	3.7018	3.7041	0.1618	0.1679	0.1654	0.0008	1.2111	1.2848	1.0	0.8006	0.7937	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
20	20	219	786	2	0.23	768	3.4974	3.672	3.6779	0.1553	0.1679	0.1654	0.0	1.5059	1.62	1.0	0.8296	0.8239	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
21	21	278	410	1	0.31	768	3.4853	3.6824	3.6886	0.1655	0.1679	0.1654	0.0005	0.9681	1.0189	1.0	0.8382	0.8315	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
22	22	351	388	1	0.37	768	3.48	3.6781	3.6854	0.1681	0.1679	0.1654	0.0006	0.9734	1.0229	1.0	0.8424	0.837	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
23	23	445	38	2	0.25	768	3.4471	3.6918	3.6956	0.1685	0.1679	0.1654	0.0081	0.9867	1.0406	1.0	0.8379	0.835	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
24	24	563	467	1	0.41	768	3.4483	3.6969	3.6994	0.1741	0.1679	0.1654	0.0008	0.9275	0.9651	1.0	0.8511	0.8473	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
25	25	712	176	0	0.09	768	3.482	3.684	3.6888	0.1671	0.1679	0.1654	0.047	0.7488	0.7709	1.0	0.857	0.8518	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
26	26	901	57	2	0.02	768	3.5111	3.6661	3.6733	0.162	0.1679	0.1654	0.0166	0.7756	0.8124	1.0	0.8627	0.8584	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
27	27	1141	968	2	0.15	768	3.5529	3.633	3.647	0.1639	0.1679	0.1654	0.0	1.1733	1.2531	1.0	0.8776	0.8716	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
28	28	1444	268	0	0.01	768	3.5507	3.6144	3.6332	0.1641	0.1679	0.1654	0.0792	0.6042	0.63	0.9965	0.8835	0.878	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
29	29	1827	270	0	0.3	768	3.5559	3.6201	3.6392	0.1565	0.1679	0.1654	0.0451	0.5349	0.5562	0.9989	0.8989	0.8943	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
30	30	2313	596	2	0.24	768	3.5344	3.6268	3.6454	0.1634	0.1679	0.1654	0.0076	0.6654	0.7262	0.9996	0.899	0.8934	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
31	31	2927	694	0	0.49	768	3.5385	3.6268	3.6452	0.1609	0.1679	0.1654	0.0991	0.4897	0.5272	0.9846	0.9052	0.8999	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
32	32	3705	837	0	0.48	768	3.5485	3.6346	3.6531	0.1563	0.1679	0.1654	0.11	0.4692	0.5	0.9808	0.9116	0.9077	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
33	33	4689	487	2	0.4	768	3.5555	3.6332	3.6517	0.1536	0.1679	0.1654	0.0519	0.4394	0.4579	0.9889	0.9211	0.9176	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
34	34	5934	418	0	0.11	768	3.5514	3.6444	3.6628	0.1542	0.1679	0.1654	0.1148	0.4277	0.4517	0.9816	0.9171	0.9145	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
35	35	7510	407	0	0.05	768	3.5438	3.6513	3.6695	0.1575	0.1679	0.1654	0.1315	0.4101	0.4242	0.978	0.9211	0.9181	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
36	36	9505	657	0	0.0	768	3.5602	3.6439	3.6576	0.1557	0.1679	0.1654	0.144	0.3767	0.3749	0.9744	0.9239	0.9228	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
37	37	12029	442	1	0.22	768	3.5586	3.6414	3.6561	0.1554	0.1679	0.1654	0.0779	0.333	0.3372	0.9848	0.9295	0.9275	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
38	38	15225	398	1	0.37	768	3.5516	3.643	3.6572	0.1563	0.1679	0.1654	0.1186	0.3103	0.3109	0.9743	0.9323	0.9307	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
39	39	19268	369	2	0.04	768	3.5555	3.6402	3.6555	0.1567	0.1679	0.1654	0.0933	0.3193	0.3209	0.9803	0.9317	0.9309	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
40	40	24386	75	2	0.43	768	3.5683	3.6238	3.6403	0.1599	0.1679	0.1654	0.1533	0.3196	0.3212	0.9668	0.9319	0.9311	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
41	41	30863	179	1	0.18	768	3.5639	3.6223	3.6412	0.165	0.1679	0.1654	0.1154	0.2751	0.2718	0.975	0.938	0.9377	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
42	42	39061	442	0	0.09	768	3.5763	3.6195	3.6353	0.1654	0.1679	0.1654	0.14	0.2642	0.2566	0.9708	0.9421	0.9433	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
43	43	49436	111	0	0.14	768	3.5905	3.61	3.624	0.1666	0.1679	0.1654	0.1419	0.2459	0.2344	0.9709	0.9457	0.9468	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
44	44	62566	242	0	0.37	768	3.5959	3.6057	3.6198	0.1695	0.1679	0.1654	0.171	0.2494	0.2381	0.9632	0.9446	0.9455	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
45	45	79184	107	0	0.35	768	3.5932	3.6076	3.6199	0.1738	0.1679	0.1654	0.1407	0.2282	0.2144	0.9683	0.949	0.9502	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
46	46	100217	150	0	0.11	768	3.5876	3.6064	3.6195	0.1765	0.1679	0.1654	0.1317	0.2185	0.2054	0.9709	0.9535	0.9533	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
47	47	126835	38	2	0.41	768	3.5935	3.6051	3.6182	0.1758	0.1679	0.1654	0.2457	0.3131	0.2981	0.9482	0.9366	0.9393	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
48	48	160524	248	2	0.23	768	3.6035	3.6	3.6167	0.1731	0.1679	0.1654	0.0661	0.1696	0.163	0.9856	0.9642	0.9637	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
49	49	203160	670	1	0.29	768	3.6068	3.5998	3.6198	0.1707	0.1679	0.1654	0.1169	0.1762	0.1691	0.9737	0.9611	0.9618	albert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
0	0	1	776	0	0.09	768	3.4594	4.0004	3.9958	1.0	0.0752	0.0831	0.0151	4.515	4.4854	1.0	0.0752	0.0831	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
1	1	2	433	2	0.27	768	3.5025	3.9713	3.966	0.5	0.0752	0.0831	0.0	8.4954	8.3816	1.0	0.1305	0.1374	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
2	2	3	310	1	0.38	768	3.2676	3.982	3.9733	0.6667	0.0752	0.0831	0.0011	5.8619	5.7905	1.0	0.1156	0.1233	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
3	3	4	300	1	0.42	768	3.1699	3.9714	3.9623	0.5	0.0752	0.0831	0.0015	6.3511	6.2777	1.0	0.1917	0.1983	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
4	4	5	1009	2	0.39	768	3.2925	3.9692	3.9623	0.4	0.0752	0.0831	0.0	13.3955	13.3066	1.0	0.2217	0.2211	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
5	5	6	657	2	0.41	768	3.3863	3.9095	3.904	0.3333	0.0752	0.0831	0.0002	8.7731	8.7386	1.0	0.2487	0.2455	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
6	6	8	455	2	0.23	768	3.3568	3.8946	3.8892	0.375	0.0752	0.0831	0.0002	8.4469	8.4386	1.0	0.2629	0.2664	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
7	7	10	103	2	0.09	768	3.1132	3.9285	3.9193	0.5	0.0752	0.0831	0.004	6.0138	5.9844	1.0	0.2306	0.2381	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
8	8	13	203	2	0.14	768	2.9461	3.9414	3.93	0.4615	0.0752	0.0831	0.0011	7.6081	7.5744	1.0	0.2284	0.2348	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
9	9	16	150	1	0.31	768	3.1675	3.8732	3.8626	0.375	0.0752	0.0831	0.0106	4.098	4.077	1.0	0.4078	0.4083	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
10	10	21	72	0	0.15	768	3.2129	3.8286	3.8192	0.2857	0.0752	0.0831	0.2135	3.6906	3.666	1.0	0.3736	0.3784	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
11	11	26	467	2	0.27	768	3.1497	3.8512	3.8402	0.2692	0.0752	0.0831	0.0003	7.1063	7.074	1.0	0.4031	0.4026	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
12	12	33	377	2	0.5	768	3.1121	3.8367	3.8278	0.2121	0.0752	0.0831	0.0056	6.168	6.1131	1.0	0.4394	0.4425	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
13	13	42	436	0	0.44	768	3.2689	3.7583	3.7548	0.1905	0.1679	0.1654	0.5303	3.2664	3.2539	1.0	0.4176	0.4212	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
14	14	53	382	0	0.1	768	3.3205	3.7439	3.7433	0.1887	0.1679	0.1654	0.1541	2.9669	2.9606	1.0	0.4796	0.48	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
15	15	68	326	2	0.5	768	3.4352	3.7196	3.7162	0.1618	0.1679	0.1654	0.0333	3.1332	3.1304	1.0	0.573	0.5642	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
16	16	85	326	2	0.49	768	3.3949	3.7616	3.7535	0.1529	0.0809	0.0809	0.0351	3.2302	3.233	1.0	0.576	0.5716	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
17	17	108	247	2	0.44	768	3.4337	3.7425	3.737	0.1667	0.0752	0.0831	0.08	2.4437	2.4587	1.0	0.599	0.5961	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
18	18	137	179	2	0.05	768	3.435	3.7201	3.7186	0.146	0.1679	0.1654	0.0069	2.291	2.3315	1.0	0.6551	0.652	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
19	19	173	137	2	0.02	768	3.463	3.7018	3.7041	0.1618	0.1679	0.1654	0.0183	1.6931	1.7297	1.0	0.6825	0.6818	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
20	20	219	786	2	0.23	768	3.4974	3.672	3.6779	0.1553	0.1679	0.1654	0.0004	1.7923	1.8408	1.0	0.7492	0.7433	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
21	21	278	410	1	0.31	768	3.4853	3.6824	3.6886	0.1655	0.1679	0.1654	0.0189	1.242	1.2736	1.0	0.7654	0.7604	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
22	22	351	388	1	0.37	768	3.48	3.6781	3.6854	0.1681	0.1679	0.1654	0.0277	1.2058	1.231	1.0	0.7748	0.7717	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
23	23	445	38	2	0.25	768	3.4471	3.6918	3.6956	0.1685	0.1679	0.1654	0.0946	1.4253	1.4661	0.9978	0.7426	0.7439	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
24	24	563	467	1	0.41	768	3.4483	3.6969	3.6994	0.1741	0.1679	0.1654	0.0279	1.118	1.1342	1.0	0.7896	0.7857	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
25	25	712	176	0	0.09	768	3.482	3.684	3.6888	0.1671	0.1679	0.1654	0.0467	1.038	1.0565	1.0	0.7992	0.7946	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
26	26	901	57	2	0.02	768	3.5111	3.6661	3.6733	0.162	0.1679	0.1654	0.0343	1.0665	1.1016	1.0	0.8052	0.7983	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
27	27	1141	968	2	0.15	768	3.5529	3.633	3.647	0.1639	0.1679	0.1654	0.0013	1.1356	1.2167	1.0	0.8471	0.8403	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
28	28	1444	268	0	0.01	768	3.5507	3.6144	3.6332	0.1641	0.1679	0.1654	0.0836	0.8154	0.853	1.0	0.8432	0.8322	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
29	29	1827	270	0	0.3	768	3.5559	3.6201	3.6392	0.1565	0.1679	0.1654	0.095	0.7208	0.7588	0.9978	0.8635	0.8528	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
30	30	2313	596	2	0.24	768	3.5344	3.6268	3.6454	0.1634	0.1679	0.1654	0.0601	0.7485	0.8126	0.9922	0.8677	0.859	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
31	31	2927	694	0	0.49	768	3.5385	3.6268	3.6452	0.1609	0.1679	0.1654	0.1162	0.6478	0.694	0.9908	0.878	0.8659	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
32	32	3705	837	0	0.48	768	3.5485	3.6346	3.6531	0.1563	0.1679	0.1654	0.1259	0.6063	0.6515	0.9873	0.8901	0.8772	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
33	33	4689	487	2	0.4	768	3.5555	3.6332	3.6517	0.1536	0.1679	0.1654	0.0466	0.5639	0.6278	0.9934	0.9004	0.887	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
34	34	5934	418	0	0.11	768	3.5514	3.6444	3.6628	0.1542	0.1679	0.1654	0.1276	0.5728	0.62	0.9875	0.898	0.8853	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
35	35	7510	407	0	0.05	768	3.5438	3.6513	3.6695	0.1575	0.1679	0.1654	0.1164	0.5502	0.5901	0.9877	0.8997	0.8903	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
36	36	9505	657	0	0.0	768	3.5602	3.6439	3.6576	0.1557	0.1679	0.1654	0.1438	0.5103	0.5405	0.9817	0.9072	0.8966	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
37	37	12029	442	1	0.22	768	3.5586	3.6414	3.6561	0.1554	0.1679	0.1654	0.1086	0.451	0.4836	0.9793	0.9118	0.903	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
38	38	15225	398	1	0.37	768	3.5516	3.643	3.6572	0.1563	0.1679	0.1654	0.0906	0.39	0.4143	0.9821	0.9203	0.9121	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
39	39	19268	369	2	0.04	768	3.5555	3.6402	3.6555	0.1567	0.1679	0.1654	0.0892	0.4253	0.4568	0.9828	0.9174	0.9101	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
40	40	24386	75	2	0.43	768	3.5683	3.6238	3.6403	0.1599	0.1679	0.1654	0.1316	0.3873	0.4149	0.9733	0.9224	0.9133	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
41	41	30863	179	1	0.18	768	3.5639	3.6223	3.6412	0.165	0.1679	0.1654	0.1014	0.3404	0.3559	0.9789	0.9277	0.9225	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
42	42	39061	442	0	0.09	768	3.5763	3.6195	3.6353	0.1654	0.1679	0.1654	0.1827	0.3462	0.3554	0.965	0.9289	0.9256	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
43	43	49436	111	0	0.14	768	3.5905	3.61	3.624	0.1666	0.1679	0.1654	0.1973	0.3281	0.3328	0.961	0.9343	0.9288	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
44	44	62566	242	0	0.37	768	3.5959	3.6057	3.6198	0.1695	0.1679	0.1654	0.2039	0.3142	0.3202	0.9569	0.935	0.929	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
45	45	79184	107	0	0.35	768	3.5932	3.6076	3.6199	0.1738	0.1679	0.1654	0.207	0.3109	0.3166	0.9571	0.9357	0.9303	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
46	46	100217	150	0	0.11	768	3.5876	3.6064	3.6195	0.1765	0.1679	0.1654	0.1815	0.2875	0.2938	0.9618	0.9401	0.9368	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
47	47	126835	38	2	0.41	768	3.5935	3.6051	3.6182	0.1758	0.1679	0.1654	0.3571	0.4382	0.4486	0.9334	0.9194	0.9131	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
48	48	160524	248	2	0.23	768	3.6035	3.6	3.6167	0.1731	0.1679	0.1654	0.1498	0.2305	0.2365	0.9662	0.9511	0.9457	roberta	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
