	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
28	28	1444	268	0	0.01	768	3.5507	3.6144	3.6332	0.1641	0.1679	0.1654	0.0858	0.8708	0.898	1.0	0.8296	0.8253	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
29	29	1827	270	0	0.3	768	3.5559	3.6201	3.6392	0.1565	0.1679	0.1654	0.0551	0.7712	0.7954	0.9995	0.8464	0.8466	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
30	30	2313	596	2	0.24	768	3.5344	3.6268	3.6454	0.1634	0.1679	0.1654	0.028	0.8302	0.8691	0.9983	0.85	0.8455	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
31	31	2927	694	0	0.49	768	3.5385	3.6268	3.6452	0.1609	0.1679	0.1654	0.1111	0.6947	0.7245	0.9898	0.865	0.8624	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
32	32	3705	837	0	0.48	768	3.5485	3.6346	3.6531	0.1563	0.1679	0.1654	0.1218	0.6514	0.6822	0.986	0.8734	0.8708	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
33	33	4689	487	2	0.4	768	3.5555	3.6332	3.6517	0.1536	0.1679	0.1654	0.1073	0.6238	0.6688	0.981	0.8753	0.8695	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
34	34	5934	418	0	0.11	768	3.5514	3.6444	3.6628	0.1542	0.1679	0.1654	0.1615	0.6402	0.6686	0.9826	0.8799	0.8755	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
35	35	7510	407	0	0.05	768	3.5438	3.6513	3.6695	0.1575	0.1679	0.1654	0.1019	0.6025	0.6203	0.9901	0.8833	0.8794	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
36	36	9505	657	0	0.0	768	3.5602	3.6439	3.6576	0.1557	0.1679	0.1654	0.1321	0.5631	0.5735	0.9854	0.8886	0.8864	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
37	37	12029	442	1	0.22	768	3.5586	3.6414	3.6561	0.1554	0.1679	0.1654	0.0711	0.498	0.5167	0.9891	0.8994	0.8956	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
38	38	15225	398	1	0.37	768	3.5516	3.643	3.6572	0.1563	0.1679	0.1654	0.086	0.4252	0.4395	0.9853	0.9085	0.9032	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
39	39	19268	369	2	0.04	768	3.5555	3.6402	3.6555	0.1567	0.1679	0.1654	0.1531	0.4846	0.4902	0.9684	0.9	0.8978	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
40	40	24386	75	2	0.43	768	3.5683	3.6238	3.6403	0.1599	0.1679	0.1654	0.1609	0.4324	0.4484	0.9688	0.9109	0.9054	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
41	41	30863	179	1	0.18	768	3.5639	3.6223	3.6412	0.165	0.1679	0.1654	0.106	0.3728	0.3779	0.9782	0.9177	0.9165	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
42	42	39061	442	0	0.09	768	3.5763	3.6195	3.6353	0.1654	0.1679	0.1654	0.1914	0.3837	0.3839	0.9627	0.9191	0.9184	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
43	43	49436	111	0	0.14	768	3.5905	3.61	3.624	0.1666	0.1679	0.1654	0.1672	0.3392	0.34	0.9659	0.9266	0.9262	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
44	44	62566	242	0	0.37	768	3.5959	3.6057	3.6198	0.1695	0.1679	0.1654	0.2165	0.3447	0.3483	0.9524	0.9257	0.9229	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
45	45	79184	107	0	0.35	768	3.5932	3.6076	3.6199	0.1738	0.1679	0.1654	0.222	0.3413	0.344	0.9516	0.9267	0.9248	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
46	46	100217	150	0	0.11	768	3.5876	3.6064	3.6195	0.1765	0.1679	0.1654	0.1876	0.3111	0.3121	0.9602	0.9335	0.9314	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
47	47	126835	38	2	0.41	768	3.5935	3.6051	3.6182	0.1758	0.1679	0.1654	0.3731	0.4652	0.466	0.9264	0.9096	0.9071	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
48	48	160524	248	2	0.23	768	3.6035	3.6	3.6167	0.1731	0.1679	0.1654	0.0994	0.2119	0.2173	0.9792	0.9544	0.9523	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
49	49	203160	670	1	0.29	768	3.6068	3.5998	3.6198	0.1707	0.1679	0.1654	0.0593	0.1857	0.1949	0.989	0.9598	0.9574	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
0	0	1	776	0	0.09	300	3.4594	4.0004	3.9958	1.0	0.0752	0.0831	0.049	4.0008	3.9946	1.0	0.0776	0.0844	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
1	1	2	433	2	0.27	300	3.5025	3.9713	3.966	0.5	0.0752	0.0831	0.0	4.2491	4.2641	1.0	0.1495	0.1535	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
2	2	3	310	1	0.38	300	3.2676	3.982	3.9733	0.6667	0.0752	0.0831	0.0064	3.8554	3.8413	1.0	0.1138	0.1201	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
3	3	4	300	1	0.42	300	3.1699	3.9714	3.9623	0.5	0.0752	0.0831	0.008	3.8354	3.8285	1.0	0.1886	0.1961	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
4	4	5	1009	2	0.39	300	3.2925	3.9692	3.9623	0.4	0.0752	0.0831	0.0002	9.4257	9.4771	1.0	0.1512	0.1511	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
5	5	6	657	2	0.41	300	3.3863	3.9095	3.904	0.3333	0.0752	0.0831	0.0011	6.8557	6.8995	1.0	0.2236	0.2255	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
6	6	8	455	2	0.23	300	3.3568	3.8946	3.8892	0.375	0.0752	0.0831	0.0013	6.3576	6.4396	1.0	0.2761	0.2768	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
7	7	10	103	2	0.09	300	3.1132	3.9285	3.9193	0.5	0.0752	0.0831	0.136	4.324	4.3427	1.0	0.263	0.265	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
8	8	13	203	2	0.14	300	2.9461	3.9414	3.93	0.4615	0.0752	0.0831	0.0138	5.4961	5.5722	1.0	0.2732	0.2753	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
9	9	16	150	1	0.31	300	3.1675	3.8732	3.8626	0.375	0.0752	0.0831	0.4232	3.4815	3.4935	1.0	0.3814	0.3807	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
10	10	21	72	0	0.15	300	3.2129	3.8286	3.8192	0.2857	0.0752	0.0831	0.6037	3.4118	3.4122	1.0	0.3102	0.3051	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
11	11	26	467	2	0.27	300	3.1497	3.8512	3.8402	0.2692	0.0752	0.0831	0.0071	6.2989	6.4083	1.0	0.3938	0.3941	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
12	12	33	377	2	0.5	300	3.1121	3.8367	3.8278	0.2121	0.0752	0.0831	0.1528	6.2963	6.3657	0.9697	0.3698	0.3725	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
13	13	42	436	0	0.44	300	3.2689	3.7583	3.7548	0.1905	0.1679	0.1654	0.4619	3.01	3.0085	1.0	0.4031	0.3984	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
14	14	53	382	0	0.1	300	3.3205	3.7439	3.7433	0.1887	0.1679	0.1654	0.7418	2.9252	2.9232	1.0	0.4577	0.4521	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
15	15	68	326	2	0.5	300	3.4352	3.7196	3.7162	0.1618	0.1679	0.1654	0.4012	2.9301	2.9185	0.9559	0.5179	0.5212	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
16	16	85	326	2	0.49	300	3.3949	3.7616	3.7535	0.1529	0.0809	0.0809	0.4444	2.8527	2.8562	0.8941	0.5243	0.5208	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
17	17	108	247	2	0.44	300	3.4337	3.7425	3.737	0.1667	0.0752	0.0831	0.6942	2.4125	2.4268	0.8426	0.5379	0.5386	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
18	18	137	179	2	0.05	300	3.435	3.7201	3.7186	0.146	0.1679	0.1654	0.3326	2.4197	2.4225	0.9489	0.5588	0.5573	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
19	19	173	137	2	0.02	300	3.463	3.7018	3.7041	0.1618	0.1679	0.1654	0.7023	2.1617	2.1728	0.8786	0.5624	0.5603	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
20	20	219	786	2	0.23	300	3.4974	3.672	3.6779	0.1553	0.1679	0.1654	0.0725	2.1938	2.2359	0.9863	0.666	0.666	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
21	21	278	410	1	0.31	300	3.4853	3.6824	3.6886	0.1655	0.1679	0.1654	0.1615	1.7538	1.7714	0.982	0.6908	0.6854	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
22	22	351	388	1	0.37	300	3.48	3.6781	3.6854	0.1681	0.1679	0.1654	0.2077	1.7543	1.7595	0.9801	0.6831	0.6809	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
23	23	445	38	2	0.25	300	3.4471	3.6918	3.6956	0.1685	0.1679	0.1654	0.4972	1.9086	1.955	0.8876	0.6355	0.6314	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
24	24	563	467	1	0.41	300	3.4483	3.6969	3.6994	0.1741	0.1679	0.1654	0.2169	1.6676	1.6806	0.968	0.7078	0.7076	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
25	25	712	176	0	0.09	300	3.482	3.684	3.6888	0.1671	0.1679	0.1654	0.4419	1.6558	1.64	0.9522	0.6992	0.6971	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
26	26	901	57	2	0.02	300	3.5111	3.6661	3.6733	0.162	0.1679	0.1654	0.6364	1.6155	1.6369	0.8812	0.7045	0.7031	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
