	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
28	28	1398	268	0	0.01	768	4.4545	4.5212	4.5432	0.1173	0.1325	0.1333	0.0791	1.7988	1.8219	1.0	0.6919	0.6911	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
29	29	1767	270	0	0.3	768	4.4411	4.5226	4.5464	0.116	0.1325	0.1333	0.1056	1.6451	1.665	1.0	0.714	0.7189	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
30	30	2234	596	2	0.24	768	4.417	4.5303	4.5576	0.1164	0.1325	0.1333	0.1255	1.5621	1.6214	0.9848	0.7316	0.7329	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
31	31	2823	694	0	0.49	768	4.4176	4.5238	4.5528	0.1162	0.1325	0.1333	0.0716	1.3922	1.4365	0.9996	0.7563	0.7579	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
32	32	3568	837	0	0.48	768	4.4223	4.5204	4.5465	0.1174	0.1325	0.1333	0.1584	1.3041	1.3278	0.995	0.7716	0.7724	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
33	33	4510	487	2	0.4	768	4.4171	4.5164	4.5441	0.1211	0.1325	0.1333	0.0876	1.1121	1.1251	0.9922	0.7964	0.796	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
34	34	5701	418	0	0.11	768	4.4095	4.5255	4.5558	0.1161	0.1325	0.1333	0.1652	1.1767	1.2059	0.9963	0.7923	0.7892	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
35	35	7206	407	0	0.05	768	4.3972	4.5355	4.5675	0.1153	0.0871	0.0859	0.1985	1.1436	1.1702	0.991	0.7986	0.7987	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
36	36	9108	657	0	0.0	768	4.4016	4.5345	4.5669	0.1177	0.1325	0.1333	0.2311	1.0816	1.1149	0.9854	0.8148	0.8119	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
37	37	11513	442	1	0.22	768	4.4035	4.5351	4.5687	0.1195	0.1325	0.1333	0.0852	0.9066	0.9339	0.9947	0.8362	0.8311	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
38	38	14552	398	1	0.37	768	4.3894	4.5339	4.57	0.1192	0.1325	0.1333	0.1592	0.832	0.8843	0.9773	0.8432	0.8397	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
39	39	18393	369	2	0.04	768	4.3986	4.5308	4.5635	0.1189	0.1325	0.1333	0.1108	0.883	0.9007	0.9865	0.8425	0.8409	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
40	40	23249	75	2	0.43	768	4.3936	4.5189	4.5551	0.1238	0.1325	0.1333	0.4244	0.923	0.9581	0.9241	0.8374	0.8351	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
41	41	29386	179	1	0.18	768	4.3826	4.524	4.564	0.1228	0.1325	0.1333	0.1648	0.7072	0.7406	0.9733	0.8655	0.8634	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
42	42	37143	442	0	0.09	768	4.4086	4.5086	4.527	0.1234	0.1325	0.1333	0.2471	0.71	0.6948	0.9633	0.8681	0.8721	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
43	43	46947	111	0	0.14	768	4.4489	4.4949	4.5047	0.1267	0.1325	0.1333	0.2755	0.6576	0.6357	0.9561	0.8783	0.8798	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
44	44	59340	242	0	0.37	768	4.4787	4.4925	4.4998	0.1266	0.1325	0.1333	0.2692	0.614	0.5951	0.9502	0.8835	0.8853	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
45	45	75005	107	0	0.35	768	4.4953	4.4954	4.4981	0.1297	0.1325	0.1333	0.3065	0.5959	0.5812	0.9427	0.8882	0.888	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
46	46	94804	150	0	0.11	768	4.4842	4.4942	4.4978	0.1305	0.1325	0.1333	0.2645	0.5505	0.5386	0.9525	0.8948	0.8966	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
47	47	119830	38	2	0.41	768	4.4817	4.4899	4.4962	0.1295	0.1325	0.1333	0.9583	1.0802	1.0515	0.824	0.811	0.8117	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
48	48	151463	248	2	0.23	768	4.4829	4.4829	4.4924	0.1259	0.1325	0.1333	0.1488	0.4191	0.4167	0.9703	0.9179	0.9169	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
49	49	191445	670	1	0.29	768	4.481	4.4815	4.4941	0.1229	0.1325	0.1333	0.1671	0.3936	0.3958	0.9685	0.9203	0.9206	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
0	0	1	776	0	0.09	300	5.015	5.5224	5.5219	1.0	0.1325	0.1333	0.0005	5.3857	5.3819	1.0	0.1399	0.1395	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
1	1	2	433	2	0.27	300	5.0297	5.5319	5.5304	0.5	0.0092	0.0109	0.0	5.1874	5.1944	1.0	0.1389	0.1416	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
2	2	3	310	1	0.38	300	4.7677	5.4915	5.4897	0.6667	0.1325	0.1333	0.0006	5.1905	5.1882	1.0	0.1393	0.1418	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
3	3	4	300	1	0.42	300	4.8514	5.4744	5.4744	0.5	0.1325	0.1333	0.0111	5.2638	5.2762	1.0	0.1348	0.1345	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
4	4	5	1009	2	0.39	300	4.9072	5.4385	5.4386	0.4	0.1325	0.1333	0.0001	7.9053	8.0101	1.0	0.1938	0.1911	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
5	5	6	657	2	0.41	300	4.9491	5.4467	5.4476	0.3333	0.1325	0.1333	0.0012	6.6865	6.7705	1.0	0.158	0.1561	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
6	6	8	455	2	0.23	300	4.908	5.4397	5.4411	0.25	0.0092	0.0109	0.0019	6.4815	6.6018	1.0	0.1994	0.1957	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
7	7	10	103	2	0.09	300	4.7008	5.4216	5.4221	0.3	0.0092	0.0109	0.0318	5.4414	5.5089	1.0	0.1982	0.1946	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
8	8	13	203	2	0.14	300	4.5678	5.3785	5.378	0.3077	0.0092	0.0109	0.0121	6.0788	6.1809	1.0	0.2458	0.2459	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
9	9	16	150	1	0.31	300	4.6705	5.3296	5.3292	0.25	0.0092	0.0109	0.1595	4.6902	4.7237	1.0	0.2521	0.2501	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
10	10	21	72	0	0.15	300	4.6939	5.2563	5.2569	0.1905	0.0092	0.0109	0.1582	4.6119	4.6189	1.0	0.2495	0.2527	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
11	11	26	467	2	0.27	300	4.5853	5.2066	5.2091	0.1923	0.1325	0.1333	0.0109	7.1015	7.2313	1.0	0.2683	0.2701	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
12	12	33	377	2	0.5	300	4.4091	5.14	5.1428	0.2121	0.1325	0.1333	0.2023	6.9486	7.0155	0.9697	0.2871	0.2873	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
13	13	42	436	0	0.44	300	4.5329	5.0996	5.1013	0.1667	0.1325	0.1333	0.4485	4.3119	4.3165	1.0	0.3331	0.3334	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
14	14	53	382	0	0.1	300	4.5302	5.052	5.0532	0.1887	0.1325	0.1333	0.3782	4.2127	4.2103	1.0	0.342	0.3419	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
15	15	67	326	2	0.5	300	4.5732	5.0467	5.0505	0.1642	0.1325	0.1333	0.6141	5.6256	5.6627	0.9104	0.3545	0.359	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
16	16	84	326	2	0.49	300	4.4723	4.9956	4.9975	0.1548	0.0871	0.0859	0.5981	4.853	4.8986	0.9048	0.3776	0.3795	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
17	17	106	247	2	0.44	300	4.5024	4.9224	4.9228	0.1415	0.0871	0.0859	0.8989	4.1266	4.129	0.8396	0.3715	0.3755	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
18	18	134	179	2	0.05	300	4.4543	4.879	4.8771	0.1418	0.0871	0.0859	0.3526	4.4307	4.3886	0.9478	0.3979	0.3992	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
19	19	170	137	2	0.02	300	4.5188	4.7848	4.7849	0.1235	0.0871	0.0859	0.7769	3.4488	3.4377	0.8765	0.416	0.4212	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
20	20	215	786	2	0.23	300	4.4632	4.7362	4.7369	0.1302	0.0788	0.0795	0.0733	4.5567	4.5547	1.0	0.4416	0.4419	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
21	21	271	410	1	0.31	300	4.451	4.6909	4.6923	0.1218	0.0871	0.0859	0.65	3.0846	3.0808	0.9373	0.4647	0.4628	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
22	22	343	388	1	0.37	300	4.4696	4.6608	4.6669	0.1254	0.0871	0.0859	0.8533	2.937	2.9467	0.9067	0.4831	0.4864	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
23	23	433	38	2	0.25	300	4.4121	4.6623	4.6696	0.1316	0.0871	0.0859	1.2031	3.126	3.1309	0.7806	0.4338	0.4386	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
24	24	548	467	1	0.41	300	4.3892	4.6403	4.6492	0.1296	0.0871	0.0859	0.9179	2.8351	2.8438	0.865	0.4965	0.5033	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
25	25	692	176	0	0.09	300	4.4028	4.6129	4.6255	0.1272	0.0871	0.0859	0.7904	2.879	2.8588	0.9581	0.5021	0.5041	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
26	26	875	57	2	0.02	300	4.4205	4.5923	4.6057	0.1223	0.0871	0.0859	0.9444	2.8127	2.8038	0.8229	0.5094	0.5145	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
27	27	1106	968	2	0.15	300	4.4684	4.5463	4.5648	0.1103	0.0871	0.0859	0.1766	3.4164	3.5074	0.9828	0.57	0.5695	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
28	28	1398	268	0	0.01	300	4.4545	4.5212	4.5432	0.1173	0.1325	0.1333	0.7453	2.5353	2.5264	0.9392	0.5575	0.5617	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
29	29	1767	270	0	0.3	300	4.4411	4.5226	4.5464	0.116	0.1325	0.1333	0.8475	2.3774	2.383	0.897	0.5813	0.584	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
30	30	2234	596	2	0.24	300	4.417	4.5303	4.5576	0.1164	0.1325	0.1333	0.6792	2.2875	2.3642	0.8626	0.6125	0.6169	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
31	31	2823	694	0	0.49	300	4.4176	4.5238	4.5528	0.1162	0.1325	0.1333	0.9609	2.1661	2.182	0.8565	0.614	0.6174	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
32	32	3568	837	0	0.48	300	4.4223	4.5204	4.5465	0.1174	0.1325	0.1333	0.9141	2.0989	2.1165	0.8537	0.6284	0.6321	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
33	33	4510	487	2	0.4	300	4.4171	4.5164	4.5441	0.1211	0.1325	0.1333	0.8136	1.8158	1.8194	0.8322	0.6643	0.6639	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
34	34	5701	418	0	0.11	300	4.4095	4.5255	4.5558	0.1161	0.1325	0.1333	1.0035	2.0462	2.0688	0.832	0.6399	0.6418	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
35	35	7206	407	0	0.05	300	4.3972	4.5355	4.5675	0.1153	0.0871	0.0859	0.964	2.0075	2.0357	0.8308	0.6472	0.6486	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
36	36	9108	657	0	0.0	300	4.4016	4.5345	4.5669	0.1177	0.1325	0.1333	1.058	1.9643	1.9842	0.8088	0.651	0.6515	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
37	37	11513	442	1	0.22	300	4.4035	4.5351	4.5687	0.1195	0.1325	0.1333	0.8349	1.6962	1.7157	0.8263	0.6885	0.69	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
38	38	14552	398	1	0.37	300	4.3894	4.5339	4.57	0.1192	0.1325	0.1333	0.7168	1.5331	1.5616	0.8485	0.7075	0.7049	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
39	39	18393	369	2	0.04	300	4.3986	4.5308	4.5635	0.1189	0.1325	0.1333	0.8769	1.6789	1.6684	0.8093	0.6934	0.6917	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
